Object Category,Object Type,,
point,70.2203587,72.97088314,0
point,71.2031756,73.39819483,0
point,73.04061589,73.05634547,0
point,71.84414314,72.03079741,0
point,72.05779899,71.26163636,0
point,73.25427173,71.26163636,0
point,73.21154056,71.9026039,0
point,74.02343278,72.50084027,0
point,74.79259383,73.31273249,0
point,75.21990553,72.41537793,0
point,76.11726008,72.32991559,0
point,77.01461464,72.24445326,0
point,77.4846575,72.67176495,0
point,78.85205493,72.79995846,0
point,79.32209779,72.58630261,0
point,80.34764585,72.41537793,0
point,80.34764585,72.75722729,0
point,80.34764585,73.86823769,0
point,80.73222638,74.16735588,0
point,82.655129,74.21008705,0
point,83.85160175,73.9964312,0
point,84.79168747,74.25281822,0
point,86.03089139,74.16735588,0
point,85.85996671,74.72286108,0
point,85.56084852,75.15017278,0
point,86.54366542,75.23563511,0
point,86.88551478,75.62021564,0
point,89.62030962,75.5347533,0
point,90.01049695,75.90759023,0
point,92.38445081,76.22411741,0
point,93.01750517,76.75166271,0
point,95.54972262,76.75166271,0
point,96.13002245,76.32962647,0
point,97.39613117,76.85717177,0
point,98.92601255,76.54064459,0
point,100.561403,76.64615365,0
point,101.1944573,77.54298066,0
point,102.9353568,77.70124425,0
point,102.8298478,78.12328049,0
point,101.3527209,77.9650169,0
point,99.92834862,78.01777143,0
point,100.2448758,78.59807126,0
point,97.60714929,78.70358032,0
point,95.76074074,79.17837109,0
point,93.33403235,79.07286203,0
point,92.75373252,79.75867093,0
point,91.38211474,80.12795264,0
point,90.80181491,80.54998888,0
point,91.96241457,81.02477965,0
point,93.70331406,81.23579777,0
point,94.91666826,81.71058854,0
point,96.28828604,81.39406136,0
point,97.60714929,81.18304324,0
point,98.55673084,80.33897076,0
point,100.1921213,79.91693452,0
point,99.87559409,79.07286203,0
point,100.7196666,78.91459844,0
point,101.1944573,79.33663469,0
point,101.8275117,79.7059164,0
point,102.4605661,79.23112563,0
point,103.3573931,79.65316187,0
point,104.2542201,79.38938922,0
point,105.1510471,79.17837109,0
point,105.045538,78.28154408,0
point,105.7841015,77.70124425,0
point,105.7841015,77.27920801,0
point,106.9974557,77.27920801,0
point,108.1053008,76.96268083,0
point,108.6328461,77.33196254,0
point,109.4769186,77.01543536,0
point,109.6351822,77.22645348,0
point,110.7957818,77.27920801,0
point,111.4288362,77.01543536,0
point,111.7981179,76.69890818,0
point,112.3784177,76.75166271,0
point,113.1697357,76.43513553,0
point,113.5917719,76.17136288,0
point,113.3807538,75.74932664,0
point,112.800454,74.90525415,0
point,111.5343453,74.85249962,0
point,110.2682365,74.48321791,0
point,110.1099729,74.1139362,0
point,111.903627,74.16669073,0
point,112.9587176,74.06118167,0
point,114.2248263,73.74465449,0
point,114.9633897,74.21944526,0
point,115.9129713,74.32495432,0
point,117.7066253,74.21944526,0
point,118.9199795,73.79740902,0
point,120.2915973,73.21710919,0
point,122.4017785,73.21710919,0
point,123.1930964,73.79740902,0
point,124.5119597,74.32495432,0
point,125.3032776,73.69189996,0
point,127.9410041,73.74465449,0
point,128.9960947,73.42812731,0
point,128.9960947,72.10926406,0
point,130.314958,71.42345516,0
point,130.9480123,71.21243704,0
point,132.0558575,72.26752765,0
point,132.7944209,72.32028218,0
point,134.1132842,71.63447328,0
point,134.693584,71.95100047,0
point,135.5376565,72.32028218,0
point,136.1707108,72.10926406,0
point,136.8565197,71.68722781,0
point,137.8061013,71.84549141,0
point,138.8611919,71.89824594,0
point,139.07221,72.58405483,0
point,139.5470008,72.68956389,0
point,139.9162825,72.90058201,0
point,141.762691,73.32261825,0
point,142.554009,73.11160013,0
point,143.0815543,73.16435466,0
point,144.1366449,73.16435466,0
point,145.138981,72.63680936,0
point,146.2995806,72.79507295,0
point,147.3019167,72.47854577,0
point,148.4097618,72.79507295,0
point,149.3065888,72.32028218,0
point,149.7286251,71.79273688,0
point,150.1643775,71.71993562,0
point,150.7626139,71.80539796,0
point,151.3181191,71.59174212,0
point,151.7454308,71.3353551,0
point,152.300936,71.12169925,0
point,153.2410217,71.3353551,0
point,154.0529139,71.12169925,0
point,154.5229568,71.3353551,0
point,155.078462,71.67720445,0
point,156.6167841,71.67720445,0
point,157.5568698,71.37808627,0
point,158.112375,71.16443042,0
point,158.5396867,71.3353551,0
point,159.0097296,71.03623691,0
point,159.5652348,70.52346288,0
point,160.2062023,70.30980703,0
point,160.7189763,69.62610832,0
point,161.402675,69.71157066,0
point,162.1291049,70.22434469,0
point,162.9409971,70.01068885,0
point,163.8810829,70.26707586,0
point,165.1202868,70.05342002,0
point,167.1713829,70.18161352,0
point,167.4705011,69.88249534,0
point,168.453318,69.88249534,0
point,169.0088232,69.45518364,0
point,169.9061778,69.36972131,0
point,170.0343713,69.58337715,0
point,169.8634466,70.18161352,0
point,170.2052959,70.3525382,0
point,170.7608012,70.65165639,0
point,171.5726934,69.96795768,0
point,172.8118973,70.22434469,0
point,174.2220259,70.01068885,0
point,175.2048428,69.92522651,0
point,177.0850142,70.13888236,0
point,177.5977883,69.66883949,0
point,178.8369922,69.58337715,0
point,179.307035,69.32699014,0
point,179.3497662,62.44727186,0
point,179.0933792,62.10542251,0
point,178.0678311,62.06269134,0
point,174.8629934,62.27634718,0
point,174.3502194,61.76357315,0
point,173.0255531,61.46445496,0
point,172.3418544,61.25079912,0
point,171.230844,60.95168093,0
point,170.4189518,60.48163807,0
point,170.0343713,59.96886403,0
point,169.2224791,60.26798222,0
point,168.5815115,60.69529391,0
point,167.940544,60.31071339,0
point,166.5731465,60.13978871,0
point,166.188566,59.84067053,0
point,165.0775556,60.09705754,0
point,164.3511257,59.84067053,0
point,163.41104,59.66974585,0
point,162.898266,59.28516532,0
point,162.5991478,58.94331597,0
point,162.1718361,58.47327311,0
point,162.4709543,58.30234843,0
point,163.2401153,57.96049907,0
point,162.7273413,57.78957439,0
point,162.7700725,57.3622627,0
point,163.2828465,56.72129516,0
point,163.1973842,56.20852113,0
point,162.3854919,56.12305879,0
point,162.1291049,54.67019903,0
point,161.402675,54.67019903,0
point,161.2317504,54.24288733,0
point,160.12074,54.11469382,0
point,159.9070841,53.38826394,0
point,158.6678802,53.38826394,0
point,158.3260309,52.87548991,0
point,158.1551062,52.31998471,0
point,157.6423321,51.84994185,0
point,157.3004828,51.42263015,0
point,156.9586334,51.2089743,0
point,156.3603971,50.78166261,0
point,156.2749347,51.42263015,0
point,156.1894724,51.84994185,0
point,155.8048919,52.06359769,0
point,155.7194295,52.79002757,0
point,155.6339672,53.43099511,0
point,155.1639243,53.85830681,0
point,155.2493867,54.88385487,0
point,155.2493867,56.46490814,0
point,155.6339672,56.76402633,0
point,155.8048919,57.40499387,0
point,156.0612789,57.74684323,0
point,156.3603971,58.13142375,0
point,157.7705256,58.25961726,0
point,157.9841815,58.60146661,0
point,158.4114932,58.77239129,0
point,158.9242672,59.07150948,0
point,159.2661166,59.41335883,0
